   5.000000e+07,  -3.180043e+01,  8.838160e+01,  -2.870017e-03,  -1.618396e+00,  -2.870017e-03,  -1.618396e+00,  -3.180043e+01,  8.838160e+01
   1.000000e+08,  -2.578895e+01,  8.676532e+01,  -1.146733e-02,  -3.234679e+00,  -1.146733e-02,  -3.234679e+00,  -2.578895e+01,  8.676532e+01
   1.500000e+08,  -2.228229e+01,  8.515325e+01,  -2.575387e-02,  -4.846752e+00,  -2.575387e-02,  -4.846752e+00,  -2.228229e+01,  8.515325e+01
   2.000000e+08,  -1.980465e+01,  8.354744e+01,  -4.566682e-02,  -6.452556e+00,  -4.566682e-02,  -6.452556e+00,  -1.980465e+01,  8.354744e+01
   2.500000e+08,  -1.789347e+01,  8.194992e+01,  -7.111942e-02,  -8.050080e+00,  -7.111942e-02,  -8.050080e+00,  -1.789347e+01,  8.194992e+01
   3.000000e+08,  -1.634265e+01,  8.036262e+01,  -1.020022e-01,  -9.637383e+00,  -1.020022e-01,  -9.637383e+00,  -1.634265e+01,  8.036262e+01
   3.500000e+08,  -1.504217e+01,  7.878739e+01,  -1.381842e-01,  -1.121261e+01,  -1.381842e-01,  -1.121261e+01,  -1.504217e+01,  7.878739e+01
   4.000000e+08,  -1.392628e+01,  7.722602e+01,  -1.795152e-01,  -1.277398e+01,  -1.795152e-01,  -1.277398e+01,  -1.392628e+01,  7.722602e+01
   4.500000e+08,  -1.295251e+01,  7.568016e+01,  -2.258269e-01,  -1.431984e+01,  -2.258269e-01,  -1.431984e+01,  -1.295251e+01,  7.568016e+01
   5.000000e+08,  -1.209179e+01,  7.415135e+01,  -2.769355e-01,  -1.584865e+01,  -2.769355e-01,  -1.584865e+01,  -1.209179e+01,  7.415135e+01
   5.500000e+08,  -1.132331e+01,  7.264102e+01,  -3.326436e-01,  -1.735898e+01,  -3.326436e-01,  -1.735898e+01,  -1.132331e+01,  7.264102e+01
   6.000000e+08,  -1.063166e+01,  7.115048e+01,  -3.927422e-01,  -1.884952e+01,  -3.927422e-01,  -1.884952e+01,  -1.063166e+01,  7.115048e+01
   6.500000e+08,  -1.000506e+01,  6.968089e+01,  -4.570133e-01,  -2.031911e+01,  -4.570133e-01,  -2.031911e+01,  -1.000506e+01,  6.968089e+01
   7.000000e+08,  -9.434303e+00,  6.823330e+01,  -5.252317e-01,  -2.176670e+01,  -5.252317e-01,  -2.176670e+01,  -9.434303e+00,  6.823330e+01
   7.500000e+08,  -8.912045e+00,  6.680861e+01,  -5.971673e-01,  -2.319139e+01,  -5.971673e-01,  -2.319139e+01,  -8.912045e+00,  6.680861e+01
